line_index,leading_spaces,is_red,has_bullet,has_big_bullet_top,has_big_bullet_bottom,special_end_sign_hex,trailing_breaks,text_en,text_he
1,0,1,0,0,0,0x1F,0,,
2,11,1,0,0,0,0x1F,0,TO BE CONTINUED...,
3,1,1,0,0,0,,3,,
4,0,0,0,0,0,,3,You must find your way onto the Vorticon Mothership and destroy all the horrible Tantalus Rays! If you don't--THE EARTH EXPLODES!  Don't miss episode two!,
5,0,0,0,0,0,,3,"And then on to Vorticon VI where the whole planet awaits your arrival! Make your way through all the Vorticon Cities and military installations, and prepare yourself for the final confrontation with the Grand Intellect!  You won't believe the shocking finale!",
6,0,0,0,0,0,,3,The final episodes are available from Apogee Software Productions.  They are only $15 each or $30 for the whole trilogy!,
7,0,0,0,0,0,,3,Send your check or money order to:,
8,0,0,0,0,0,0x1F,0,Apogee Software Productions,
9,1,0,0,0,0,0x1F,0,P.O. Box 476389,
10,1,0,0,0,0,,3,"Garland, TX   75047",
11,0,0,0,0,0,,3,Or call: 1-800-852-5659.,
12,0,0,0,0,0,,4,"(U.S. Funds only, and please include $2 for Shipping and Handling.)",
13,5,0,0,1,0,0x1F,0,Commander Keen says:,
14,10,0,0,0,1,0x1F,0,"""Hope you enjoyed",
15,13,0,0,0,0,,3,"the game. I did!""",
16,6,1,0,0,0,0x1A,0,THE END (for now...),
