offset,eng_size,he_size,special_char,text_en,text_he
0x14FAB,11,,,Quit (Y/N)?,לצאת (y/n)?,
0x14FB8,17,,0x0A,Quit to (D)os or%s,לצאת ל (d)os או%s,
0x14FCA,8,,,(T)itle:,(t)כותר:,
0x14FE1,12,,,Sound (Y/N)?,צליל (y/n)?,
0x14FEE,22,,0x0A,You are now cheating!%s,אתה עכשיו מרמה!%s,
0x15005,27,,0x0A,"You just got a pogo stick,%s","הרגע השגת מוט קפיצה,%s",
0x15021,23,,0x0A,"all the key cards, and%s",כל המפתחות וגם המון%s,
0x15039,24,,,lots of ray gun charges.,טעינות של רובה לייזר.,
0x15052,29,,0x0A,    SCORE     EXTRA KEEN AT %s,ניקוד     קין נוסף ב %s,
0x15073,29,,0x0A,    KEENS       SHIP PARTS  %s,קינים       חלקי ספינה  %s,
0x1509A,29,,0x0A, RAYGUN   POGO    KEYCARDS  %s,רובה לייזר  מוט קפיץ  מפתחות%s,
0x150C7,9,,, CHARGE  ,טעינה  ,
0x150D9,28,,,     PLEASE PRESS A KEY     ,     נא ללחוץ על מקש     ,
0x150F6,16,,,God mode enabled,מצב שמימי מופעל,
0x15107,17,,,God mode disabled,מצב שמימי כבוי,
0x1511D,55,,,Loading Commander Keen part 1... (version 1.31 1/23/90),טוען את קומנדר קין חלק 1... (גרסה 1.31 23/1/90),
0x15155,17,,,Joystick detected,ג'ויסטיק זוהה,
0x15167,21,,,Joystick not detected,ג'ויסטיק לא זוהה,
0x1517D,37,,,Keystrokes will not be passed to bios,לחיצות מקשים לא יועברו ל-bios,
0x151A3,17,,,EGA card detected,כרטיס ega זוהה,
0x151B5,17,,,VGA card detected,כרטיס vga זוהה,
0x151C7,74,,,"Hey, I don't see an EGA or VGA card here!  Do you want to run the program ", "היי, אני לא רואה כאן כרטיס ega או vga! האם אתה רוצה להריץ את התוכנית ",
0x15212,40,,,"anyway (Y = go ahead, N = quit to dos) ?","מכל מקרה (y = להמשיך, n = לצאת ל-dos) ?",
0x1523B,50,,,"Decompressing graphics, this may take some time...","מחלץ גרפיקה, זה עלול לקחת זמן...",
0x1526E,6,,,SOUNDS,צלילים,
0x15280,21,,0x0A,You here in your    %s,אתה שומע קול מהדהד%s,
0x15296,21,,0x0A,mind:               %s,בראשך:             %s,
0x152C2,21,,0x0A,It is too bad that  %s,זה חבל שאתה%s,
0x152D8,21,,0x0A,you cannot read the %s,לא יכול לקרוא %s,
0x152EE,21,,0x0A,Standard Galactic   %s,את השפה הגלקטית %s,
0x15304,21,,0x0A,"Alphabet, human.    %s","אדם-אלפבתי.   %s",
0x1531A,21,,0x0A,A message echoes in %s,הודעה מהדהדת%s,
0x15330,21,,0x0A,your head:          %s,בראשך:        %s,
0x1535C,21,,0x0A,The teleporter in   %s,המשגר באזור%s,
0x15372,21,,0x0A,the ice will send   %s,הקרח ישלח את %s,
0x15388,21,,0x0A,you to the dark side%s,אותך לצד האפל%s,
0x1539E,21,,0x0A,of Mars.            %s,של מאדים.           %s,
0x153B4,21,,0x0A,A voice buzzes in   %s,קול מהדהד%s,
0x153CA,21,,0x0A,your mind:          %s,במוחך:          %s,
0x153F6,21,,0x0A,There is a hidden   %s,יש עיר נסתרת %s,
0x1540C,21,,0x0A,city. Look in the   %s, חפש אותה%s,
0x15422,21,,0x0A,dark area of the    %s,באזור החשוך של%s,
0x15438,21,,0x0A,city to the south.  %s,הדרומי של העיר. %s,
0x1544E,21,,0x0A,You see these words %s,אתה רואה מילים %s,
0x15464,21,,0x0A,in your head:       %s,אלה בראשך:       %s,
0x15490,21,,0x0A,You will need a     %s,תזדקק לרובה  %s,
0x154A6,21,,0x0A,"raygun in the end,  %s","לייזר בסוף,  %s",
0x154BC,21,,0x0A,but not to shoot the%s,אבל אל תירה %s,
0x154D2,21,,0x0A,Vorticon...         %s,בורטיקון...         %s,
0x154E8,21,,0x0A,You hear in your    %s,אתה שומע%s,
0x154FE,21,,0x0A,mind:               %s,במוחך:              %s,
0x1552A,21,,0x0A, GAAARRRRRGG!       %s,גארררררר!       %s,
0x15540,21,,0x0A,A Yorpish whisper   %s,לחש יורפי   %s,
0x15556,21,,0x0A,says:               %s,אומר:               %s,
0x15582,22,,0x0A,"Look for dark, hidden%s",חפש בחושך לבנים %s,
0x15599,21,,0x0A,bricks. You can see %s,נסתרות. את יכול%s,
0x155AF,21,,0x0A,naught but their    %s,לראות רק את הפונה%s,
0x155C5,21,,0x0A,upper left corner.  %s,השמאלית העליונה.%s,
0x155DB,21,,0x0A,A Yorpy mind-thought%s,יורפי חושב-מחשבה%s,
0x155F1,21,,0x0A,bellows:            %s,צועק:            %s,
0x1561D,21,,0x0A,You cannot kill the %s,אתה לא יכול להרוג את%s,
0x15633,21,,0x0A,Vorticon Commander  %s,מפקד בורטיקון  %s,
0x15649,21,,0x0A,directly.           %s,ישירות.           %s,
0x1565F,12,,,Press ENTER:,לחץ על אנטר:,
0x1566C,18,,,Bad think pointer!,מצביע מחשבה שגוי!,
0x1567F,20,,,Bad contact pointer!,מצביע מגע שגוי!,
0x15694,4,,,Oops,אופס,
0x157AB,24,,0x0A 0x0D,Joystick Configuration%s%s,תצורת ג'ויסטיק%s%s,
0x157C4,26,,0x0A 0x0D,  ----------------------%s%s,  ----------------------%s%s,
0x157DF,26,,0x0A 0x0D,Hold the joystick in the%s%s,החזק את הג'ויסטיק%s%s,
0x157FA,12,,0x0A 0x0D,upper left%s%s,מעלה-שמאל%s%s,
0x15807,26,,,corner and press button 1:,
0x15822,29,,0x0A 0x0A 0x0D 0x0A 0x0D,%s%s%sHold the joystick in the%s%s,החזק את הג'ויסטיק ב%s%s,
0x15840,13,,0x0A 0x0D,lower right%s%s,מטה-ימין%s%s,
0x1584E,26,,,corner and press button 1:,ולחץ על כפתור 1:,
0x15869,3,,,ESC,
0x1586D,4,,,BKSP,
0x15872,3,,,TAB,
0x15876,4,,,CTRL,
0x1587B,6,,,LSHIFT,
0x15882,5,,,SPACE,
0x15888,6,,,CAPSLK,
0x1588F,1,,,F,
0x15891,3,,,F11,
0x15895,3,,,F12,
0x15899,6,,,SCRLLK,
0x158A0,5,,,ENTER,
0x158A6,6,,,RSHIFT,
0x158AD,5,,,PRTSC,
0x158B3,3,,,ALT,
0x158B7,4,,,HOME,
0x158BC,4,,,PGUP,
0x158C1,3,,,END,
0x158C5,4,,,PGDN,
0x158CA,3,,,INS,
0x158CE,3,,,DEL,
0x158D2,5,,,NUMLK,
0x158D8,18,,0x0A,Keyboard Commands%s,פקודות מקלדת%s,
0x158FD,13,,0x0A,%s0 north    :,%s0 צפונה    :,
0x1590B,13,,0x0A,%s1 northeast:,%s1 צפון-מזרח:,
0x15919,13,,0x0A,%s2 east     :,%s2 מזרח     :,
0x15927,13,,0x0A,%s3 southeast:,%s3 דרום-מזרח:,
0x15935,13,,0x0A,%s4 south    :,%s4 דרום    :,
0x15943,13,,0x0A,%s5 southwest:,%s5 דרום-מערב:,
0x15951,13,,0x0A,%s6 west     :,%s6 מערב     :,
0x1595F,13,,0x0A,%s7 northwest:,%s7 צפון-מערב:,
0x1596D,13,,0x0A,%s8 button1  :,%s8 כפתור1  :,
0x1597B,13,,0x0A,%s9 button2  :,%s9 כפתור2  :,
0x15989,21,,0x0A,%sModify which action:,%sשנה איזו פעולה:,
0x1599F,20,,0x0A 0x0D,%s%sPress the new key:,%s%sלחץ על המקש החדש:,
0x159D1,4,,,DEMO,דמו,
0x159D8,4,,,DEMO,דמו,
0x15A10,3,,,PCR,
0x15A14,9,,,CTLPANEL.,
0x15A1E,9,,,CTLPANEL.,
0x15D06,7,,,SCORES.,ניקוד.,
0x15D13,5,,,first,ראשון,
0x15D1A,6,,,second,שני,
0x15D21,5,,,third,שלישי,
0x15D28,6,,,fourth,רביעי,
0x15D2F,5,,,fifth,חמישי,
0x15D36,5,,,sixth,שישי,
0x15D3D,4,,,last,סופי,
0x15D44,39,,0x0A,DISK ERROR!  I am having some problems%s,
0x15D6C,39,,0x0A,accessing the disk drive. Put the disk%s,
0x15D94,38,,0x0A,back in (if it's out) and press a key%s,
0x15DBB,26,,,"to retry, or ESC to abort:",
0x15DD6,39,,0x0A,DISK ERROR!  I am having some problems%s,
0x15DFE,26,,0x0A,accessing the disk drive.%s,
0x15E19,10,,0x0A,Aborting.%s,
0x15E24,36,,0x0A,Commander Keen returns to the Bean-%s,המפקד קין חוזר למגה-טיל-%s,
0x15E49,34,,0x0A,with-Bacon Megarocket and quickly%s,השעועית עם נקניק שלו ומיד%s,
0x15E6C,36,,0x0A,replaces the missing parts. He must%s,מתקין את החלקים החסרים. הוא חייב%s,
0x15E91,32,,0x0A,get home before his parents do!%s,לחזור הביתה לפני שהוריו מגיעים!%s,
0x15EBD,23,,0x0A,Keen makes it home and%s,קין מגיע הביתה ומיד%s,
0x15ED5,19,,0x0A,rushes to beat his%s,וממהר להקדים את%s,
0x15EE9,17,,,parents upstairs.,ההורים שלו למעלה.,
0x15EFB,20,,0x0A,"Shhh, honey...let's%s","ששש, יקירי...בוא%s",
0x15F10,20,,0x0A,see if little Billy%s,נראה אם בילי הקטן%s,
0x15F25,10,,,is asleep.,ישן.,
0x15F30,22,,0x0A,Billy...? Are you a--%s,בילי? האם אתה--%s,
0x15F47,22,,0x0A,WHAT IS THIS ONE-EYED%s,מה הדבר הירוק הזה%s,
0x15F5E,20,,0x0A,GREEN THING IN YOUR%s,עם עין אחת%s,
0x15F73,12,,0x0A,ROOM!!!!???%s,בחדר!!!???%s,
0x15F80,17,,0x0A,"Aw, Mom, can't I%s","אמא הוא יכול%s",
0x15F92,9,,,keep him?,להשאר פה?,
0x15F9C,23,,0x0A,"Well, we'll talk about%s","ובכן, נדבר על%s",
0x15FB4,21,,0x0A,"that in the morning,%s","זה בבוקר,%s",
0x15FCA,23,,,son. You get some rest.,בן. לך לנוח.,
0x15FE2,19,,,"OK, Mom. Goodnight.","בסדר אמא. לילה טוב.",
0x15FF6,16,,,"Goodnight, dear.","לילה טוב, יקירי.",
0x16007,22,,0x0A,But there is no sleep%s,אבל אין שינה%s,
0x1601E,24,,0x0A,for Commander Keen! The%s,למפקד קין!%s,
0x16037,20,,0x0A,Vorticon Mothership%s,הספינה הוורטיקונית%s,
0x1604C,22,,0x0A,"looms above, ready to%s","מרחפת מעל,מוכנה למחוק%s",
0x16063,14,,,destroy Earth!,את כדור הארץ!,
0x16072,19,,,TO BE CONTINUED....,המשך יבוא....,
0x16086,15,,,         SCORE:,         ניקוד:,
0x16096,24,,0x0A,       CONGRATULATIONS!%s,       מזל טוב!%s,
0x160AF,13,,,     You got ,     קיבלת ,
0x160BD,26,,0x0A 0x0A 0x0A, place!%s%s%sEnter your name:, מקום!%s%s%sהכנס את שמך:,
0x160D8,13,,,   Keens Left,   קינים נותרו,
0x160E6,12,8,0x0A,   New Game%s,חדש%s,
