line_index,leading_spaces,is_red,has_bullet,has_big_bullet_top,has_big_bullet_bottom,special_end_sign_hex,trailing_breaks,text_en,text_he
2,15,1,0,0,0,0x1F,0,PREVIEWS!,בקרוב!
4,0,0,0,0,0,,2,You have seen a short glimpse of the excitement that awaits in the rest of the Commander Keen trilogy!,קיבלתם טעימה קטנה מההתרגשות שמחכה לכם בהמשך הטרילוגיה של קומנדר קין!
5,0,0,0,0,0,,2,"The second episode is ""The Earth Explodes,"" which contains new features like see-through windows, new aliens such as the Vorticon Elite, and truly earth-shattering animation! Use moving platforms, evade new robots, and make your way to the Tantalus Ray chambers! Save the Earth before it's too late!","הפרק השני הוא ""כדור הארץ מתפוצץ"", והוא כולל חידושים כמו חלונות שקופים, חייזרים חדשים כמו ה""וורטיקון עילית"", ואנימציה שבאמת מרעידה את האדמה! השתמשו בפלטפורמות נעות, התחמקו מרובוטים חדשים, ופנו לכם דרך אל תאי קרן הטנטלוס! הצילו את כדור הארץ לפני שיהיה מאוחר מדי!"
6,0,0,0,0,0,,3,"The third episode in Invasion of the Vorticons is ""Keen Must Die!"" In this episode there is danger lurking everywhere as you visit Vorticon VI, where you explore the richly-detailed Vorticon society. See beautiful parks, dangerous cities, and confusing caves! And all this on the way to your final confrontation with the Grand Intellect! Episode three features a big cast including Vorticon women, Meeps, Foobs, and VortiNinjas! And you won't believe the new, mysterious ""Ankh"" power!","הפרק השלישי בסדרת פלישת הוורטיקונים הוא ""קין חייב למות!"" בפרק הזה הסכנה אורבת בכל פינה כשתבקרו בוורטיקון 6, שם תחקרו לעומק את החברה הוורטיקונית המורכבת. תראו פארקים יפהפיים, ערים מסוכנות ומערות מבלבלות! וכל זה בדרך לעימות הסופי עם ""השכל העליון""! פרק שלוש מציג גלריה שלמה של דמויות כולל נשות וורטיקון, מיפים, פובים, ו-וורטי-נינג'ות! ולא תאמינו לכוח ה""ענח'"" המסתורי החדש!"
7,5,1,0,0,0,,2,COMING SOON FROM ID SOFTWARE,בקרוב מבית ID SOFTWARE
8,0,0,0,0,0,,2,"As our follow-up to the Commander Keen trilogy, Id Software is working on ""The Fight for Justice"": a completely new approach to fantasy gaming. You start not as a weakling with no food--you start as Quake, the strongest, most dangerous person on the continent. You start off with a Hammer of Thunderbolts, a Ring of Regeneration, and a trans-dimensional artifact. Here the fun begins. You fight for Justice, a secret organization devoted to vanquishing evil from the land! This is role-playing excitement.","כהמשך לטרילוגיית קומנדר קין, Id Software עובדת על ""הקרב על הצדק"": גישה חדשה לגמרי למשחקי פנטזיה. אתם לא מתחילים כחלשלושים בלי אוכל – אתם מתחילים בתור קווייק (Quake), האדם החזק והמסוכן ביותר ביבשת. אתם מתחילים עם פטיש הברקים, טבעת התחדשות וחפץ עתיק חוצה-ממדים. כאן הכיף מתחיל. אתם נלחמים עבור ""צדק"", ארגון חשאי המוקדש לביעור הרשע מהארץ! זוהי חוויית משחקי תפקידים מרגשת."
9,0,0,0,0,0,,2,"And you don't chunk around the screen. ""The Fight for Justice"" contains fully animated scrolling backgrounds. All the people you meet have their own lives, personalities, and objectives. A 256-color VGA version will be available (smooth scrolling 256-color screens--fancy that)!","ואתם לא ""תקרטעו"" על המסך. ""הקרב על הצדק"" כולל רקעים נגללים באנימציה מלאה. לכל האנשים שתפגשו יש חיים משלהם, אישיות ומטרות. תהיה זמינה גרסת VGA ב-256 צבעים (מסכי 256 צבעים בגלגול חלק – תארו לעצמכם!)"
10,0,0,0,0,0,,2,"And the depth of play will be intense. No more ""whack whack here's some gold."" There will be interesting puzzles and decisions won't be ""yes/no"" but complex correlations of people and events.","ועומק המשחק יהיה אינטנסיבי. לא עוד ""מכה-מכה והנה קצת זהב"". יהיו חידות מעניינות, וההחלטות לא יהיו רק ""כן/לא"" אלא קשרים מורכבים בין אנשים ואירועים."
11,0,0,0,0,0,,3,"""The Fight for Justice"" will be the finest PC game yet.","""הקרב על הצדק"" יהיה משחק המחשב הטוב ביותר עד כה."
12,5,0,0,1,0,0x1F,0,Billy says:,בילי אומר:
13,10,0,0,0,1,0x1F,0,"""Id Software is really","""חברת Id Software היא פשוט"
14,13,0,0,0,0,,2,"keen!""","קין!"""
15,12,1,0,0,0,0x1A,0,END OF PREVIEWS,סוף התצוגה המקדימה
