line_index,leading_spaces,is_red,has_bullet,has_big_bullet_top,has_big_bullet_bottom,special_end_sign_hex,trailing_breaks,text_en,text_he
1,12,1,0,0,0,0x1F,0,COMMANDER KEEN,
2,18,1,0,0,0,0x1F,0,in,
3,6,1,0,0,0,,3,"""Invasion of the Vorticons""",
4,0,0,0,0,0,,2,"Billy Blaze, eight year-old genius, working diligently in his backyard clubhouse has created an interstellar starship from old soup cans, rubber cement and plastic tubing.  While his folks are out on the town and the babysitter has fallen asleep, Billy travels into his backyard workshop, dons his brother's football helmet, and transforms into...",
5,2,0,0,0,0,,2,COMMANDER KEEN--defender of Earth!,
6,0,0,0,0,0,,3,"In his ship, the Bean-with-Bacon Megarocket, Keen dispenses galactic justice with an iron hand!",
7,3,1,0,0,0,,3,Episode One: Marooned on Mars,
8,0,0,0,0,0,,2,"In this episode, aliens from the planet Vorticon VI find out about the eight year-old genius and plan his destruction.  While Keen is out exploring the mountains of Mars, the Vorticons steal vital parts of his ship and take them to distant Martian cities!  Can Keen recover all the pieces of his ship and repel the Vorticon invasion?  Will he make it back before his parents get home?  Stay tuned!",
9,3,1,0,0,0,,2,WHAT THE VORTICONS HAVE STOLEN,
10,0,0,0,0,0,,2,"The Bean-with-Bacon Megarocket was constructed from objects around the house that you have ""modified"" into starship parts:",
11,1,0,1,0,0,,2,JOYSTICK (from your brother's video game) Manual flight control.,
12,1,0,1,0,0,,2,CAR BATTERY (from your Mom's car) Electrical systems power.,
13,1,0,1,0,0,,2,"VACUUM CLEANER (from the kitchen, heavily modified) Ion propulsion unit (with carpet height adjustment).",
14,1,0,1,0,0,,4,EVERCLEAR (from your Dad's liquor cabinet) Fuel.,
15,0,0,0,0,0,,2,"The Vorticons have taken these pieces to the far reaches of Mars and are guarding them.  You must find the members of this Vorticon outpost and wrest the parts back from their wicked, clawed hands!",
16,9,1,0,0,0,,2,INFORMATION ON MARS,
17,0,0,0,0,0,,2,"Unbeknownst to NASA, when the Viking Lander settled to the surface of Mars, it caused a major political upheaval.  Viking actually landed on the despotic Martian king!  The Yorps (the extremely friendly one-eyed Martians) were free from enslavement, and the Gargs (the vicious, aggressive Martians) were angry.",
18,0,0,0,0,0,,2,The Martians created robots for menial work and guard duties.  Beware of the tank-like Guard Robots--they are VERY good at what they do.,
19,0,0,0,0,0,,2,Martians have been visiting Earth in UFOs for decades.  Why?  They come to Earth for one reason--THEY WANT OUR TOYS.  Hula hoops and skateboards are holy objects to them!  Who knows...you may find some toys useful!,
20,0,0,0,0,0,,2,There are signs everywhere.  You haven't been able to decipher them yet....,
21,8,1,0,0,0,,2,THE ADVENTURE BEGINS...,
22,0,0,0,0,0,,2,"Your task is before you.  Go get 'em, Commander Keen!",
23,0,1,0,0,0,,2,______________________________________,
24,0,0,0,0,0,,3,"And don't miss episodes Two and Three in the ""Invasion of the Vorticons"" trilogy!",
25,2,1,0,0,0,,2,Episode Two: The Earth Explodes,
26,0,0,0,0,0,,2,"Keen has assembled his ship and returned home, only to find the Vorticon Mothership hovering over the Earth, ready to destroy all of Earth's cities and wonders!  Keen must sneak aboard, stop the imminent destruction of Earth and find a way to neutralize the Mothership!  If he fails...THE EARTH EXPLODES! (No pressure.)",
27,3,1,0,0,0,,2,Episode Three: Keen Must Die!,
28,0,0,0,0,0,,3,"Keen flies to the planet Vorticon VI to once and for all rid the galaxy of the Vorticon menace.  The entire planet is waiting for his arrival, with only one order given--Commander Keen must die!  What evil being is behind all this?  Stay tuned for the climactic, shocking finale!",
29,2,0,0,1,0,0x1F,0,Commander Keen says:,
30,4,0,0,0,1,0x1F,0,"""You won't believe what happens",
31,7,0,0,0,0,0x1A,0,"in Episode Three!""",
32,0,0,0,0,0,,0,,
